?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01001518>	"drifting sea ice mass"	"A drift ice mass which is composed primarily of sea ice."
<http://purl.obolibrary.org/obo/ENVO_03600003>	"drinking water pipeline network"	"A pipeline network which is used to transport drinking water to consumers."
<http://purl.obolibrary.org/obo/ENVO_00000449>	"drinking water reservoir"	"A reservoir constructed for the purpose of providing drinking water."
<http://purl.obolibrary.org/obo/ENVO_03600004>	"drinking water treatment plant"	"An industrial building in which water undergoes a purification process to make it fit for human consumption."
<http://purl.obolibrary.org/obo/ENVO_01001280>	"driveway"	"A road which is used for local access to one or more structures, and is privately owned and maintained by an individual or group."
<http://purl.obolibrary.org/obo/ENVO_01000136>	"drop stone"	"A piece of rock which fell vertically through the water column into finer-grained water-deposited sedimentary rocks."
<http://purl.obolibrary.org/obo/ENVO_00000276>	"drumlin"	"An elongated whale-shaped hill formed by glacial action. Its long axis is parallel with the movement of the ice, with the blunter end facing into the glacial movement. Drumlins are sometimes compared to kames, but their formation is distinctively different. A drumlin is not originally shaped by meltwater, but by the ice itself and has a quite regular shape. It occurs in fine grained material, such as clay or shale, not in sands and gravels. And drumlins usually have concentric layers of material, as the ice successively plasters new layers in its movement."
<http://purl.obolibrary.org/obo/ENVO_00000431>	"drumlin field"	"A cluster of dozens to hundreds of similarly shaped, sized and oriented drumlins."
<http://purl.obolibrary.org/obo/ENVO_00000557>	"dry dam"	"A dam designed to control flooding. It normally holds back no water and allows the channel to flow freely, except during periods of intense flow that would otherwise cause flooding downstream."
<http://purl.obolibrary.org/obo/ENVO_00000277>	"dry lake"	"A lake that has either permanently or temporally lost its water."
<http://purl.obolibrary.org/obo/ENVO_01000296>	"dry lake bed"	"A lake bed which is dry. That is, the bed of a dry lake."
<http://purl.obolibrary.org/obo/ENVO_03501199>	"dry market"	"A market which is used for the sale and purchase of durable goods."
<http://purl.obolibrary.org/obo/ENVO_01000995>	"dry river"	"A dry stream channel through which a river had flowed, but now contains no appreciable accumulations of water."
<http://purl.obolibrary.org/obo/ENVO_0010163>	"dry river valley"	"A dry stream valley which was formed as a result of erosion due to river formation and flow."
